birth,life,deltactcf,clife,cof,sep,face,peaktotal
0.0001,50,1000,17.0,1.7,100,1.0,3528951
0.0001,50,1000,17.0,1.7,74,1.0,4446030
0.0001,50,100,17.0,1.7,100,1.0,3543118
0.0001,50,100,17.0,1.7,74,1.0,4612267
0.0001,50,10,17.0,1.7,100,1.0,3529725
0.0001,50,10,17.0,1.7,74,1.0,4465553
0.0001,50,1500,17.0,1.7,100,1.0,3552280
0.0001,50,1500,17.0,1.7,74,1.0,4474354
0.0001,50,200,17.0,1.7,100,1.0,3591327
0.0001,50,200,17.0,1.7,74,1.0,4578459
0.0001,50,20,17.0,1.7,100,1.0,3543466
0.0001,50,20,17.0,1.7,74,1.0,4582726
0.0001,50,3000,17.0,1.7,100,1.0,3597756
0.0001,50,3000,17.0,1.7,74,1.0,4468342
0.0001,50,400,17.0,1.7,100,1.0,3582011
0.0001,50,400,17.0,1.7,74,1.0,4528821
0.0001,50,40,17.0,1.7,100,1.0,3514825
0.0001,50,40,17.0,1.7,74,1.0,4565003
0.0001,50,4,17.0,1.7,100,1.0,3522764
0.0001,50,4,17.0,1.7,74,1.0,4509111
0.0001,50,5000,17.0,1.7,100,1.0,3561823
0.0001,50,5000,17.0,1.7,74,1.0,4481478
0.0001,50,8,17.0,1.7,100,1.0,3591826
0.0001,50,8,17.0,1.7,74,1.0,4633958
0.00025,50,1000,17.0,1.7,100,1.0,3486348
0.00025,50,1000,17.0,1.7,74,1.0,4534816
0.00025,50,100,17.0,1.7,100,1.0,3517345
0.00025,50,100,17.0,1.7,74,1.0,4491463
0.00025,50,10,17.0,1.7,100,1.0,3624641
0.00025,50,10,17.0,1.7,74,1.0,4564558
0.00025,50,1500,17.0,1.7,100,1.0,3611856
0.00025,50,1500,17.0,1.7,74,1.0,4595155
0.00025,50,200,17.0,1.7,100,1.0,3522445
0.00025,50,200,17.0,1.7,74,1.0,4596894
0.00025,50,20,17.0,1.7,100,1.0,3608365
0.00025,50,20,17.0,1.7,74,1.0,4553348
0.00025,50,3000,17.0,1.7,100,1.0,3640400
0.00025,50,3000,17.0,1.7,74,1.0,4571392
0.00025,50,400,17.0,1.7,100,1.0,3665369
0.00025,50,400,17.0,1.7,74,1.0,4591003
0.00025,50,40,17.0,1.7,100,1.0,3538354
0.00025,50,40,17.0,1.7,74,1.0,4592452
0.00025,50,4,17.0,1.7,100,1.0,3596509
0.00025,50,4,17.0,1.7,74,1.0,4605176
0.00025,50,5000,17.0,1.7,100,1.0,3557484
0.00025,50,5000,17.0,1.7,74,1.0,4582614
0.00025,50,8,17.0,1.7,100,1.0,3616322
0.00025,50,8,17.0,1.7,74,1.0,4614749
0.0005,50,1000,17.0,1.7,100,1.0,3585312
0.0005,50,1000,17.0,1.7,74,1.0,4546769
0.0005,50,100,17.0,1.7,100,1.0,3609064
0.0005,50,100,17.0,1.7,74,1.0,4521899
0.0005,50,10,17.0,1.7,100,1.0,3629766
0.0005,50,10,17.0,1.7,74,1.0,4598781
0.0005,50,1500,17.0,1.7,100,1.0,3493415
0.0005,50,1500,17.0,1.7,74,1.0,4557177
0.0005,50,200,17.0,1.7,100,1.0,3559983
0.0005,50,200,17.0,1.7,74,1.0,4574079
0.0005,50,20,17.0,1.7,100,1.0,3596490
0.0005,50,20,17.0,1.7,74,1.0,4627255
0.0005,50,3000,17.0,1.7,100,1.0,3572656
0.0005,50,3000,17.0,1.7,74,1.0,4419722
0.0005,50,400,17.0,1.7,100,1.0,3567527
0.0005,50,400,17.0,1.7,74,1.0,4567443
0.0005,50,40,17.0,1.7,100,1.0,3567418
0.0005,50,40,17.0,1.7,74,1.0,4496621
0.0005,50,4,17.0,1.7,100,1.0,3594248
0.0005,50,4,17.0,1.7,74,1.0,4566131
0.0005,50,5000,17.0,1.7,100,1.0,3560535
0.0005,50,5000,17.0,1.7,74,1.0,4600283
0.0005,50,8,17.0,1.7,100,1.0,3603237
0.0005,50,8,17.0,1.7,74,1.0,4502694
0.00075,50,1000,17.0,1.7,100,1.0,3520824
0.00075,50,1000,17.0,1.7,74,1.0,4504044
0.00075,50,100,17.0,1.7,100,1.0,3511485
0.00075,50,100,17.0,1.7,74,1.0,4531564
0.00075,50,10,17.0,1.7,100,1.0,3620852
0.00075,50,10,17.0,1.7,74,1.0,4620623
0.00075,50,1500,17.0,1.7,100,1.0,3493210
0.00075,50,1500,17.0,1.7,74,1.0,4524367
0.00075,50,200,17.0,1.7,100,1.0,3566291
0.00075,50,200,17.0,1.7,74,1.0,4458844
0.00075,50,20,17.0,1.7,100,1.0,3479929
0.00075,50,20,17.0,1.7,74,1.0,4603262
0.00075,50,3000,17.0,1.7,100,1.0,3560659
0.00075,50,3000,17.0,1.7,74,1.0,4577425
0.00075,50,400,17.0,1.7,100,1.0,3547401
0.00075,50,400,17.0,1.7,74,1.0,4518571
0.00075,50,40,17.0,1.7,100,1.0,3718053
0.00075,50,40,17.0,1.7,74,1.0,4553247
0.00075,50,4,17.0,1.7,100,1.0,3608502
0.00075,50,4,17.0,1.7,74,1.0,4658989
0.00075,50,5000,17.0,1.7,100,1.0,3521692
0.00075,50,5000,17.0,1.7,74,1.0,4661875
0.00075,50,8,17.0,1.7,100,1.0,3623256
0.00075,50,8,17.0,1.7,74,1.0,4671243
0.001,50,1000,17.0,1.7,100,1.0,3604932
0.001,50,1000,17.0,1.7,74,1.0,4534517
0.001,50,100,17.0,1.7,100,1.0,3682253
0.001,50,100,17.0,1.7,74,1.0,4648383
0.001,50,10,17.0,1.7,100,1.0,3655495
0.001,50,10,17.0,1.7,74,1.0,4700573
0.001,50,1500,17.0,1.7,100,1.0,3605688
0.001,50,1500,17.0,1.7,74,1.0,4624211
0.001,50,200,17.0,1.7,100,1.0,3612690
0.001,50,200,17.0,1.7,74,1.0,4606360
0.001,50,20,17.0,1.7,100,1.0,3724253
0.001,50,20,17.0,1.7,74,1.0,4582798
0.001,50,3000,17.0,1.7,100,1.0,3534228
0.001,50,3000,17.0,1.7,74,1.0,4543300
0.001,50,400,17.0,1.7,100,1.0,3554917
0.001,50,400,17.0,1.7,74,1.0,4586431
0.001,50,40,17.0,1.7,100,1.0,3628474
0.001,50,40,17.0,1.7,74,1.0,4697930
0.001,50,4,17.0,1.7,100,1.0,3579586
0.001,50,4,17.0,1.7,74,1.0,4706669
0.001,50,5000,17.0,1.7,100,1.0,3517928
0.001,50,5000,17.0,1.7,74,1.0,4535780
0.001,50,8,17.0,1.7,100,1.0,3721618
0.001,50,8,17.0,1.7,74,1.0,4682376
0.0025,50,1000,17.0,1.7,100,1.0,3585930
0.0025,50,1000,17.0,1.7,74,1.0,4557793
0.0025,50,100,17.0,1.7,100,1.0,3754854
0.0025,50,100,17.0,1.7,74,1.0,4708682
0.0025,50,10,17.0,1.7,100,1.0,3730798
0.0025,50,10,17.0,1.7,74,1.0,4753411
0.0025,50,1500,17.0,1.7,100,1.0,3603233
0.0025,50,1500,17.0,1.7,74,1.0,4562831
0.0025,50,200,17.0,1.7,100,1.0,3761092
0.0025,50,200,17.0,1.7,74,1.0,4731959
0.0025,50,20,17.0,1.7,100,1.0,3814753
0.0025,50,20,17.0,1.7,74,1.0,4856033
0.0025,50,3000,17.0,1.7,100,1.0,3542382
0.0025,50,3000,17.0,1.7,74,1.0,4500816
0.0025,50,400,17.0,1.7,100,1.0,3621636
0.0025,50,400,17.0,1.7,74,1.0,4635296
0.0025,50,40,17.0,1.7,100,1.0,3724020
0.0025,50,40,17.0,1.7,74,1.0,4808173
0.0025,50,4,17.0,1.7,100,1.0,3687147
0.0025,50,4,17.0,1.7,74,1.0,4805527
0.0025,50,5000,17.0,1.7,100,1.0,3558432
0.0025,50,5000,17.0,1.7,74,1.0,4541234
0.0025,50,8,17.0,1.7,100,1.0,3705316
0.0025,50,8,17.0,1.7,74,1.0,4792907
0.005,50,1000,17.0,1.7,100,1.0,3693357
0.005,50,1000,17.0,1.7,74,1.0,4650861
0.005,50,100,17.0,1.7,100,1.0,3933279
0.005,50,100,17.0,1.7,74,1.0,4957889
0.005,50,10,17.0,1.7,100,1.0,3983799
0.005,50,10,17.0,1.7,74,1.0,5153956
0.005,50,1500,17.0,1.7,100,1.0,3552134
0.005,50,1500,17.0,1.7,74,1.0,4593594
0.005,50,200,17.0,1.7,100,1.0,3813946
0.005,50,200,17.0,1.7,74,1.0,4886112
0.005,50,20,17.0,1.7,100,1.0,3975856
0.005,50,20,17.0,1.7,74,1.0,4957025
0.005,50,3000,17.0,1.7,100,1.0,3480902
0.005,50,3000,17.0,1.7,74,1.0,4427038
0.005,50,400,17.0,1.7,100,1.0,3766124
0.005,50,400,17.0,1.7,74,1.0,4779633
0.005,50,40,17.0,1.7,100,1.0,3949613
0.005,50,40,17.0,1.7,74,1.0,5081892
0.005,50,4,17.0,1.7,100,1.0,3963405
0.005,50,4,17.0,1.7,74,1.0,5004619
